prestamo_id,cliente_id,sucursal_id,producto_id,oficial_id,numero_contrato,fecha_otorgamiento,fecha_vencimiento,monto_original,saldo_capital_vigente,tasa_interes_nominal_anual,tasa_interes_efectiva_anual,plazo_meses,tipo_credito,moneda,frecuencia_pago,cuota_programada,numero_cuotas_total,numero_cuotas_pagadas,numero_cuotas_pendientes,estado,dias_mora,clasificacion_riesgo_sbs,garantia_tipo,garantia_valor,proposito_credito,canal_desembolso,fecha_primer_pago_programado,fecha_ultimo_pago_real
11,713,5,4,21,CONT-00000011,2022-11-13,2024-05-06,29609.21,0.0,37.83,45.13,18,Microempresa,PEN,Mensual,2180.7,18,18,0,Cancelado,0,Normal,Carta Fianza,0.0,Compra de Inventario,Transferencia Bancaria,13-12-2022,2024-05-06
12,4160,6,4,40,CONT-00000012,2022-03-01,2025-08-12,37310.03,9902.33,25.97,29.2954,42,Microempresa,PEN,Mensual,1361.35,42,34,8,Vigente,0,,Aval,0.0,Compra de Inventario,Agencia,2022-03-31,15/12/2024
13,1308,6,3,41,CONT-00000013,2023-04-03,28/03/2024,12986.98,3624.84,18.0,19.5618,12,Vehicular,PEN,Mensual,1190.65,12,12,0,Moroso,52,Dudoso,Bien Inmueble,20970.05,Maquinaria,Transferencia Bancaria,2023/05/03,28-03-2024
14,4240,13,1,50,CONT-00000014,2022/01/02,2023/06/26,25166.56,0.0,36.0,42.5761,18,Personal,PEN,Mensual,1829.83,18,18,0,Cancelado,0,Normal,Aval,0.0,Gastos de Estudios,Agencia,2022/02/01,26/06/2023
15,4430,16,1,23,CONT-00000015,21-12-2021,14/06/2023,6545.03,0.0,29.82,34.2529,18,Personal,PEN,Mensual,455.4,18,18,0,Cancelado,0,Normal,Aval,0.0,Emergencia Médica,Transferencia Bancaria,20-01-2022,2023-06-14
16,4571,21,1,59,CONT-00000016,2022-02-10,2026-01-20,25616.29,10187.9,30.53,35.1859,48,Personal,PEN,Mensual,930.25,48,35,13,Vigente,0,Normal,Sin Garantía,0.0,Emergencia Médica,Cheque de Gerencia,2022/03/12,26-12-2024
17,4377,12,8,1,CONT-00000017,2023-04-12,2024-07-05,9141.33,0.0,23.03,25.6233,15,Microempresa,PEN,Mensual,707.13,15,15,0,Cancelado,0,Normal,Sin Garantía,0.0,Capital de Trabajo,Cheque de Gerencia,2023/05/12,2024-07-05
18,408,22,1,33,CONT-00000018,2021-10-24,2025-10-03,38235.55,20922.61,36.0,42.5761,48,Personal,PEN,Mensual,1513.28,48,38,10,Moroso,152,Dudoso,Carta Fianza,0.0,Mejoras del Hogar,Transferencia Bancaria,2021/11/23,2024/12/07
19,563,21,6,59,CONT-00000019,2023/06/07,2023-12-04,2847.01,0.0,14.31,15.2869,6,Personal,PEN,Mensual,494.5,6,6,0,Cancelado,0,Normal,Carta Fianza,0.0,Libre Disponibilidad,Agencia,2023-07-07,2023-12-04
20,1844,19,2,38,CONT-00000020,2022-07-09,2049/02/17,180330.58,177215.77,11.0,11.5719,324,Hipotecario,PEN,Mensual ,1743.71,324,30,294,Vigente,0,Normal,Prenda Vehicular,285150.68,Ampliación y Remodelación,Agencia,2022/08/08,25-12-2024
21,3097,20,1,41,CONT-00000021,2022/06/07,2023/11/29,22994.77,0.0,34.82,40.9512,18,PeRsOnAl,PEN,Mensual,1658.05,18,18,0,Cancelado,0,Normal,Carta Fianza,0.0,Libre Disponibilidad,Agencia,2022/07/07,29/11/2023
22,831,6,1,40,CONT-00000022,2020-01-11,2021-07-04,-2565.89,0.0,27.58,31.3478,18,Personal,PEN,Mensual,175.67,18,18,0,Cancelado,0,Normal,Carta Fianza,0.0,Gastos de Estudios,Transferencia Bancaria,2020/02/10,2021/07/04
23,3460,9,1,29,CONT-00000023,2023-03-14,2025/03/03,15526.78,2458.77,28.9,33.0527,24,Personal,PEN,Mensual,859.38,24,21,3,Vigente,0,CPP,Sin Garantía,0.0,Mejoras del Hogar,Transferencia Bancaria,2023-04-13,2024/12/03
24,347,2,4,36,CONT-00000024,2023/03/11,2024/03/05,3460.79,0.0,42.83,52.3231,12,Microempresa,PEN,Mensual,359.6,12,12,0,Cancelado,0,Normal ,Sin Garantía,0.0,Expansión de Negocio,Agencia,2023/04/10,2024-03-05
25,469,8,1,5,CONT-00000025,23/08/2024,2027-02-09,5206.41,4731.62,33.02,38.5053,30,Personal,PEN,Mensual,257.17,30,4,26,Vigente,0,CPP,Sin Garantía,0.0,Gastos de Estudios,Cheque de Gerencia,2024/09/22,21-12-2024
26,4093,9,1,24,CONT-00000026,2023-06-05,2027/11/11,22195.79,17155.9,26.81,30.3625,54,Personal,PEN,Mensual,711.73,54,19,35,Vigente,0,Normal,Carta Fianza,0.0,Mejoras del Hogar,TRANSFERENCIA BANCARIA,2023/07/05,2024-12-26
27,2828,16,4,35,CONT-00000027,2021-11-23,2022-05-22,5139.98,1842.11,28.04,31.9396,6,Microempresa,PEN,Mensual,928.07,6,6,0,Moroso,135,CPP,Carta Fianza,0.0,Capital de Trabajo,Agencia,23/12/2021,22/05/2022
28,4918,20,4,6,CONT-00000028,2021-12-09,2022/06/07,4372.61,0.0,48.0,60.1032,6,Microempresa,PEN,Mensual,834.13,6,6,0,Cancelado,0,Normal,Carta Fianza,0.0,Compra de Inventario,Agencia,2022/01/08,2022/06/07
29,4749,4,1,19,CONT-00000029,2020-08-01,2021-01-28,1156.07,0.0,27.91,31.7721,6,Personal,PEN,Mensual,208.66,6,6,0,Cancelado,0,Normal,Sin Garantía,0.0,Libre Disponibilidad,Agencia,2020/08/31,28-01-2021
30,3478,17,1,52,CONT-00000030,2022/12/30,19/12/2024,4733.97,0.0,26.63,30.1332,24,Personal,PEN,Mensual,256.55,24,24,0,Cancelado,0,Normal,Sin Garantía,0.0,Mejoras del Hogar,Transferencia Bancaria,29/01/2023,2024-12-19
31,4950,20,4,58,CONT-00000031,2023-12-07,2027-05-20,35874.87,27941.09,25.65,28.891,42,Microempresa,PEN,Mensual,1302.7,42,13,29,Vigente,0,CPP,Aval,0.0,Expansión de Negocio,Agencia,2024-01-06,31-12-2024
32,1947,23,3,60,CONT-00000032,2021/05/02,27/04/2022,10023.2,0.0,17.5,18.9742,12,Vehicular,PEN,Mensual,916.54,12,12,0,Cancelado,0,Normal,Bien Mueble,11530.27,Vehículo Nuevo,Cheque de Gerencia,2021-06-01,27/04/2022
33,353,4,1,45,CONT-00000033,2020/06/05,2020/12/02,1547.85,0.0,27.48,31.2194,6,Personal,PEN,Mensual,279.04,6,6,0,Cancelado,0,Normal,,0.0,Viaje / Turismo,Transferencia Bancaria,2020/07/05,2020/12/02
34,4182,10,1,9,CONT-00000034,2022/09/07,18-02-2026,15588.27,7184.65,32.04,37.1901,42,Personal,PEN,Mensual,621.81,42,28,14,Vigente,0,CPP,Aval,0.0,Emergencia Médica,Agencia,2022/10/07,25-12-2024
35,2364,23,4,56,CONT-00000035,21-01-2022,2024-07-09,15806.08,0.0,28.87,33.0137,30,Microempresa,PEN,Mensual,745.73,30,30,0,Cancelado,0,Normal,Aval,0.0,Capital de Trabajo,Agencia,2022-02-20,2024/07/09
36,3865,5,3,21,CONT-00000036,15/12/2023,2027-11-24,34342.61,27748.26,16.58,17.8998,48,Vehicular,PEN,Mensual,983.51,48,12,36,Vigente,0,CPP,Prenda Vehicular,65803.86,Vehículo Usado,Agencia,2024/01/14,2024/12/09
37,3059,17,3,15,CONT-00000037,2020-03-14,2022/03/04,21501.4,0.0,17.23,18.6579,24,Vehicular,PEN,Mensual,1065.46,24,24,0,Cancelado,0,Normal,Bien Inmueble,35451.47,Vehículo Nuevo,Transferencia Bancaria,2020/04/13,2022/03/04
38,1387,23,1,56,CONT-00000038,2021/09/07,18-02-2025,28427.07,1888.56,21.56,23.8234,42,Personal,PEN,Mensual,969.81,42,40,2,Vigente,0,Normal,Sin Garantía,0.0,Mejoras del Hogar,Transferencia Bancaria,2021-10-07,20/12/2024
39,4120,11,4,17,CONT-00000039,25-02-2021,2023-02-15,3949.74,0.0,40.36,48.7298,24,Microempresa,PEN,Mensual,242.44,24,24,0,Cancelado,0,Normal,Carta Fianza,0.0,Expansión de Negocio,Agencia,27/03/2021,2023/02/15
40,2847,20,6,54,CONT-00000040,19/11/2021,16-04-2028,73970.5,59396.97,24.0,26.8242,78,Personal,PEN,Mensual,1880.76,78,37,41,Moroso,45,Dudoso,Carta Fianza,0.0,Mejoras del Hogar,Transferencia Bancaria,2021-12-19,2024-12-03
41,3711,19,5,38,CONT-00000041,2024/03/20,2026/12/05,1613.81,1287.36,27.98,31.8623,33,Consumo,PEN,Mensual,70.65,33,9,24,Vigente,0,Normal,Carta Fianza,0.0,Vestimenta y Calzado,  Transferencia Bancaria,19-04-2024,2024/12/15
42,3535,23,4,56,CONT-00000042,28-11-2020,2023-05-17,14629.96,0.0,35.1,41.3353,30,Microempresa,PEN,Mensual,739.19,30,30,0,Castigado,2,Pérdida,Carta Fianza,0.0,Expansión de Negocio,Agencia,2020/12/28,2023-05-17
43,2503,20,8,43,CONT-00000043,2021-08-28,2023/11/16,5050.0,0.0,23.28,25.9318,27,Microempresa,PEN,Mensual,242.05,27,27,0,Cancelado,0,Normal,Aval,0.0,Capital de Trabajo,Agencia,27-09-2021,16-11-2023
44,4224,19,2,16,CONT-00000044,19/10/2021,2047-06-05,164401.04,160204.23,11.0,11.5719,312,Hipotecario,PEN,Mensual,1599.83,312,38,274,Vigente,0,Normal,Prenda Vehicular,187532.95,Ampliación y Remodelación,Transferencia Bancaria,2021/11/18,2024-12-02
45,1710,14,4,54,CONT-00000045,16/04/2022,2024/04/05,2976.91,0.0,47.98,60.0724,24,Microempresa ,PEN,Mensual,195.21,24,24,0,Cancelado,0,Normal ,Sin Garantía,0.0,Compra de Inventario,Agencia,2022-05-16,2024/04/05
46,2081,14,1,28,CONT-00000046,15/06/2021,2023-12-02,13054.8,0.0,21.35,23.5682,30,Personal,PEN,Mensual,565.35,30,30,0,Cancelado,0,Normal,Sin Garantía,0.0,Libre Disponibilidad,Cheque de Gerencia,2021/07/15,2023-12-02
47,2583,12,1,42,CONT-00000047,20/06/2022,26-11-2026,29414.65,16314.8,20.0,21.9391,54,Personal,PEN,Mensual,830.35,54,30,24,Vigente,0,Normal,,0.0,Libre Disponibilidad,Cheque de Gerencia,20-07-2022,2024/12/06
48,4167,16,5,35,CONT-00000048,2023/01/11,2024-04-05,3962.66,0.0,36.53,43.3115,15,Consumo,PEN,Mensual,333.0,15,15,0,Cancelado,0,Normal,Sin Garantía,0.0,Electrodomésticos,Agencia,2023/02/10,2024/04/05
49,333,13,1,46,CONT-00000049,2022-01-30,2027-01-04,41627.75,25284.53,32.02,37.1634,60,Personal,PEN,Mensual,1398.9,60,35,25,Vigente,0,Normal,Sin Garantía,0.0,Libre Disponibilidad,Transferencia Bancaria,2022/03/01,15-12-2024
50,2935,21,4,59,CONT-00000050,2021/11/17,2024-11-01,97559.69,0.0,46.44,57.7181,36,Microempresa,PEN,Mensual,5067.13,36,36,0,Cancelado,0,Normal,Carta Fianza,0.0,Capital de Trabajo,Agencia,2021/12/17,2024-11-01
51,842,3,2,33,CONT-00000051,2020-11-03,22/08/2034,239209.73,196737.86,9.27,9.6742,168,Hipotecario,PEN,Mensual,2547.06,168,50,118,Vigente,0,Normal,Bien Mueble,468602.56,Ampliación y Remodelación,Agencia,2020-12-03,2024/12/12
52,1257,9,2,24,CONT-00000052,2020/03/07,2043/05/06,298259.94,276037.59,9.06,9.4458,282,Hipotecario,PEN,Mensual,2558.64,282,58,224,vigente,0,Normal,Bien Inmueble,513586.5, refinanciamiento hipotecario,Cheque de Gerencia,2020/04/06,2024/12/11
53,2002,3,5,18,CONT-00000053,22-06-2024,2026-09-10,1398.18,1171.79,34.08,39.9409,27,Consumo,PEN,Mensual,74.85,27,6,21,Vigente,0,Normal,Sin Garantía,0.0,Atención Médica,Agencia,2024/07/22,19/12/2024
54,4421,19,2,38,CONT-00000054,2022-01-11,2051/02/08,120776.28,118679.34,10.59,11.1194,354,Hipotecario,s/.,Mensual,1115.59,354,36,318,Refinanciado,0,CPP,Bien Mueble,260075.95,Refinanciamiento Hipotecario,Transferencia Bancaria,2022/02/10,26-12-2024
55,2664,8,1,5,CONT-00000055,2022/11/01,2027/04/09,4745.74,3130.59,26.31,29.7264,54,Personal,PEN,Mensual,150.8,54,26,28,Vigente,0,Normal,Sin Garantía,0.0,Gastos de Estudios,Agencia,2022/12/01,20/12/2024
56,3638,4,6,19,CONT-00000056,2024/05/09,2026/04/29,6895.89,5180.64,21.68,23.9694,24,Personal,PEN,Mensual,356.66,24,7,17,Vigente,0,Normal,Aval,0.0,Emergencia Médica,Agencia,2024/06/08,2024/12/05
57,4186,15,1,32,CONT-00000057,31/10/2022,13-04-2026,29291.65,14879.48,30.58,35.2519,42,Personal,PEN,Mensual,1144.04,42,26,16,Vigente,0,Normal,Aval,0.0,Libre Disponibilidad,Agencia,30-11-2022,2024/12/19
58,694,21,1,59,CONT-00000058,2024-04-16,2026-10-03,16281.75,13238.52,36.0,42.5761,30,Personal,PEN,Mensual,830.68,30,8,22,Vigente,0,Normal,Aval,0.0,Libre Disponibilidad,Cheque de Gerencia,2024-05-16,2024/12/12
59,1726,20,1,9,CONT-00000059,28/09/2020,2021/09/23,2835.42,0.0,30.23,34.791,12,Personal,PEN,Mensual,276.74,12,12,0,Cancelado,0,Normal,Aval,0.0,Gastos de Estudios,AgEnCiA,28/10/2020,23-09-2021
60,2025,2,5,36,CONT-00000060,20/11/2021,18-02-2022,3468.12,0.0,41.1,49.7981,3,Consumo,PEN,Mensual,1236.12,3,3,0,Cancelado,0,Normal,Sin Garantía,0.0,Atención Médica,Transferencia Bancaria,2021/12/20,18-02-2022
61,3067,5,6,21,CONT-00000061,2022/07/10,2027-12-11,15062.2,10043.6,18.6,20.2705,66,Personal,PEN,Mensual,366.13,66,30,36,Vigente,0,Normal,Carta Fianza,0.0,Gastos de Estudios,Cheque de Gerencia,2022/08/09,26-12-2024
62,2066,9,1,29,CONT-00000062,2023-04-30,2023/10/27,1465.54,0.0,32.38,37.6451,6,Personal,PEN,Mensual,267.84,6,6,0,Cancelado,0,Normal,Carta Fianza,0.0,Gastos de Estudios,Transferencia Bancaria,2023/05/30,27-10-2023
63,787,20,8,38,CONT-00000063,2021/04/20,2021-07-19,1510.33,0.0,22.94,25.5125,3,Microempresa,PEN,Mensual,522.81,3,3,0,Cancelado,0,,Carta Fianza,0.0,Compra de Inventario,Transferencia Bancaria,2021/05/20,19-07-2021
64,4040,5,2,55,CONT-00000064,2024-03-30,2039-01-11,63812.17,64087.92,10.31,10.8114,180,Hipotecario,PEN,Mensual,697.88,180,9,171,Moroso,138,Dudoso,Bien Mueble,131934.35,Ampliación y Remodelación,Agencia,29-04-2024,2024-12-25
65,928,11,3,17,CONT-00000065,30-08-2020,20/08/2022,10666.45,0.0,17.56,19.0445,24,Vehicular,PEN,Mensual,530.25,24,24,0,Cancelado,0,Normal,Bien Mueble,20573.62,Vehículo Usado,Cheque de Gerencia  ,2020-09-29,20/08/2022
66,2111,9,1,24,CONT-00000066,2021-02-27,2022/02/22,4177.99,0.0,29.12,33.3388,12,Personal,PEN,Mensual,405.49,12,12,0,Cancelado,0,Normal,Carta Fianza,0.0,Gastos de Estudios,Agencia,29-03-2021,2022-02-22
67,1427,15,1,32,CONT-00000067,26-01-2022,2022/07/25,2243.43,0.0,35.72,42.189,6,Personal,PEN,Mensual,413.81,6,6,0,Cancelado,0,Normal,Aval,0.0,Emergencia Médica,Agencia,2022-02-25,2022-07-25
68,413,5,5,55,CONT-00000068,2022/06/29,27/09/2022,1872.9,0.0,34.03,39.8729,3,CoNsUmO,PEN,Mensual,660.04,3,3,0,Cancelado,0,Normal,Carta Fianza,0.0,Electrodomésticos,Transferencia Bancaria,29/07/2022,2022-09-27
69,2648,11,5,17,CONT-00000069,2024/06/12,27/02/2027,3500.67,3038.25,26.8,30.3498,33,Consumo,PEN,Mensual,151.06,33,6,27,Vigente,0,Normal,Carta Fianza,0.0,Electrodomésticos,Cheque de Gerencia,2024-07-12,2024/12/09
70,472,18,5,58,CONT-00000070,2022-06-06,2022/09/04,636.21,0.0,37.85,45.1581,3,Consumo,PEN,Mensual,225.59,3,3,0,Cancelado,0,Normal,Carta Fianza,0.0,Electrodomésticos,Cheque de Gerencia,2022/07/06,2022-09-04
71,4032,6,4,41,CONT-00000071,2020/10/07,27/09/2022,18527.21,0.0,46.26,57.445,24,Microempresa,PEN,Mensual,1197.17,24,24,0,Cancelado,0,Normal,Sin Garantía,0.0,Compra de Inventario,Agencia,2020/11/06,27-09-2022
72,156,3,5,1,CONT-00000072,26/09/2020,2021-12-20,4345.74,0.0,41.3,50.088,15,consumo,PEN,Mensual,375.76,15,15,0,Castigado,28,Pérdida,Aval,0.0,Electrodomésticos,Transferencia Bancaria,2020/10/26,2021-12-20
73,1388,16,4,23,CONT-00000073,2023/12/25,14/12/2025,3105.12,1814.82,34.6,40.6502,24,Microempresa,PEN,Mensual,181.05,24,12,12,Vigente,0,Normal,Carta Fianza,0.0,Expansión de Negocio,Transferencia Bancaria,24-01-2024,19/12/2024
74,4594,5,3,55,CONT-00000074,2021/09/06,2023-08-27,66328.99,0.0,18.0,19.5618,24,Vehicular,PEN,Mensual,3311.42,24,24,0,Cancelado,0,Normal,Bien Mueble,99018.61,Maquinaria,Transferencia Bancaria,2021/10/06,27/08/2023
75,1613,19,1,38,CONT-00000075,2024/03/26,2025/03/21,6205.44,1708.96,-5.0,30.388,12,Personal,PEN,Mensual,595.32,12,9,3,Vigente,0,Normal,Sin Garantía,0.0,Viaje / Turismo,Transferencia Bancaria,2024-04-25,21/12/2024
76,4178,10,8,12,CONT-00000076,2020/08/20,2023/05/07,-5090.41,0.0,22.43,24.8858,33,Microempresa,PEN,Mensual,208.08,33,33,0,Cancelado,0,Normal,Carta Fianza,0.0,Compra de Inventario,Cheque de Gerencia,2020/09/19,2023/05/07
77,1614,13,1,46,CONT-00000077,2021/07/02,2023-12-19,10019.39,0.0,36.0,42.5761,30,Personal,PEN,Mensual,511.18,30,30,0,Cancelado,0,Normal,Aval,0.0,Emergencia Médica,Transferencia Bancaria,2021-08-01,2023-12-19
78,1120,22,3,44,CONT-00000078,20/05/2022,26-10-2026,26193.26,13747.78,18.0,19.5618,54,Vehicular,PEN,Mensual,711.18,54,31,23,Vigente,0,Normal,Bien Mueble,52396.4,Vehículo Comercial,Transferencia Bancaria,19-06-2022,2024-12-05
79,3493,13,3,50,CONT-00000079,2020/07/12,2026/05/10,111842.49,39574.48,17.38,18.8335,66,Vehicular,PEN,Mensual,2642.98,66,49,17,Vigente,0,CPP,Prenda Vehicular,138923.68,Vehículo Nuevo,Cheque de Gerencia,2020/08/11,16/12/2024
80,1712,24,1,2,CONT-00000080,2020-07-03,15/12/2023,15594.61,0.0,25.85,29.1436,42,Personal,PEN,Mensual,567.98,42,42,0,Cancelado,0,Normal,Carta Fianza,0.0,Libre Disponibilidad,Cheque de Gerencia,2020/08/02,2023-12-15
81,4365,11,1,17,CONT-00000081,2021-02-10,2025-07-19,49275.65,11247.08,34.05,39.9001,54,Personal,PEN,Mensual,1794.19,54,47,7,Vigente,0,Normal ,Sin Garantía,0.0,Emergencia Médica,Transferencia Bancaria,2021/03/12,21/12/2024
82,1724,17,3,52,CONT-00000082,2024-02-10,14-01-2029,18664.8,16977.91,14.72,15.7549,60,Vehicular,PEN,Mensual,441.3,60,10,50,Moroso,300,Dudoso,Prenda Vehicular,21399.45,Vehículo Comercial,Transferencia Bancaria,2024/03/11,2024/12/06
83,1580,16,1,23,CONT-00000083,2020/03/10,2022/02/28,2780.3,0.0,21.8,24.1156,24,Personal,PEN,Mensual,143.96,24,24,0,Cancelado,0,Normal,Carta Fianza,0.0,Emergencia Médica,Agencia,2020/04/09,2022-02-28
84,4055,6,1,40,CONT-00000084,2024/01/18,2028-06-25,29428.33,26285.61,32.03,37.1767,54,Personal,PEN,Mensual,1035.07,54,11,43,Vigente,0,Normal,Sin Garantía,0.0,Gastos de Estudios,Transferencia Bancaria,2024-02-17,2024-12-13
85,3891,7,1,39,CONT-00000085,2021-10-01,2026-09-05,14223.4,7338.27,28.64,32.7153,60,Personal,PEN,Mensual,448.37,60,39,21,Vigente,0,Normal,Sin Garantía,0.0,Libre Disponibilidad,Transferencia Bancaria,31-10-2021,14-12-2024
86,2144,14,8,54,CONT-00000086,23-08-2022,2024/11/10,5724.94,0.0,24.92,27.9728,27,Microempresa,PEN,Mensual,279.14,27,27,0,Cancelado,0,Normal,Aval,0.0,Expansión de Negocio,Cheque de Gerencia,22-09-2022,2024-11-10
87,3925,19,4,16,CONT-00000087,22-02-2022,2024-02-12,2454.41,0.0,35.02,41.2254,24,Microempresa,PEN,Mensual,143.65,24,24,0,Cancelado,0,Normal,Aval,0.0,Adquisición de Activo Fijo,Cheque de Gerencia,2022-03-24,2024/02/12
88,3242,5,8,55,CONT-00000088,28-04-2024,2026-01-18,3434.1,2280.66,22.46,24.9226,21,Microempresa,PEN,Mensual,199.27,21,8,13,Vigente,0,Normal,Sin Garantía,0.0,Capital de Trabajo,Agencia,2024/05/28,24/12/2024
89,3881,13,4,50,CONT-00000089,30/09/2022,19/09/2024,11514.41,0.0,23.19,25.8207,24,Microempresa,PEN,Mensual,604.13,24,24,0,Cancelado,0,Normal,Carta Fianza,0.0,Adquisición de Activo Fijo,Agencia,2022-10-30,19/09/2024
90,2380,18,5,58,CONT-00000090,23/04/2022,2023-07-17,2819.53,0.0,31.4,36.3373,15,Consumo,PEN,Mensual,229.68,15,15,0,Cancelado,0,Normal,Carta Fianza,0.0,Vestimenta y Calzado,Agencia,23-05-2022,17-07-2023
91,3797,3,1,16,CONT-00000091,2024-03-26,2026-03-16,12754.49,8812.79,29.38,33.6776,24,Personal,PEN,Mensual,709.08,24,9,15,Vigente,0,Cpp,Aval,0.0,Mejoras del Hogar,Cheque de Gerencia,2024/04/25,2024-12-21
92,39,10,4,9,CONT-00000092,2020-08-03,29/07/2021,5308.24,0.0,23.96,26.7745,12,Microempresa,PEN,Mensual,501.84,12,12,0,Cancelado,0,,Sin Garantía,0.0,Adquisición de Activo Fijo,Transferencia Bancaria,2020/09/02,29-07-2021
93,3247,4,5,10,CONT-00000093,2020-03-20,18/06/2020,2557.53,0.0,34.91,41.0746,3,Consumo,PEN,Mensual,902.59,3,3,0,Cancelado,0,Normal,Carta Fianza,0.0,Vestimenta y Calzado,Transferencia Bancaria,19-04-2020,2020/06/18
94,4140,12,1,42,CONT-00000094,2022/06/10,2023/06/05,22984.41,6661.75,32.89,38.3302,12,Personal,PEN,Mensual,2273.48,12,12,0,Moroso,196,Deficiente,,0.0,Viaje / Turismo,Agencia,2022-07-10,2023-06-05
95,3295,24,1,18,CONT-00000095,2024-07-02,22-06-2026,11924.12,9617.95,32.52,37.8329,24,Personal,PEN,Mensual,682.28,24,6,18,Vigente,0,Normal,Sin Garantía,0.0,EmErGeNcIa mÉdIcA,Cheque de Gerencia,2024/08/01,29-12-2024
96,3176,19,5,16,CONT-00000096,2020-12-02,2021-08-29,4528.51,0.0,40.56,49.0179,9,Consumo,PEN,Mensual,591.97,9,9,0,Cancelado,0,Normal,Aval,0.0,Electrodomésticos,Agencia,2021/01/01,2021/08/29
97,30,3,2,30,CONT-00000097,2021/02/12,2031/12/17,68077.83,52457.87,10.99,11.5608,132,Hipotecario,PEN,Mensual,890.9,132,47,85,Vigente,0,Normal,Bien Mueble,86601.69,Ampliación y Remodelación,Cheque de Gerencia,2021/03/14,23/12/2024
98,4799,4,4,19,CONT-00000098,2021-12-07,27-11-2023,9751.78,0.0,46.88,58.3875,24,Microempresa,PEN,Mensual,633.49,24,24,0,Cancelado,0,Normal,Carta Fianza,0.0,Expansión de Negocio,Transferencia Bancaria,2022/01/06,27/11/2023
99,2048,13,4,20,CONT-00000099,2021/06/05,16/11/2024,19747.2,0.0,39.53,47.5399,42,Microempresa,PEN,Mensual,874.74,42,42,0,Cancelado,0,Normal,Carta Fianza,0.0,Adquisición de Activo Fijo,Transferencia Bancaria,2021/07/05,16-11-2024
100,876,2,1,36,CONT-00000100,2020-07-28,2025/07/02,7208.5,1454.87,28.89,33.0397,60,Personal,PEN,Mensual,228.33,60,53,7,Vigente,0,Normal,Carta Fianza,0.0,Gastos de Estudios,Cheque de Gerencia,27/08/2020,2024-12-04
101,2006,1,6,8,CONT-00000101,2020/12/10,30/11/2022,2168.75,0.0,16.66,17.9929,24,Personal,PEN,Mensual,106.87,24,24,0,Cancelado,0,Normal,Sin Garantía,0.0,Viaje / Turismo,Transferencia Bancaria,2021/01/09,30/11/2022
