pago_id,prestamo_id,numero_cuota,fecha_vencimiento_cuota,fecha_pago,monto_cuota_programada,monto_capital_programado,monto_interes_programado,monto_pagado_total,monto_capital_pagado,monto_interes_pagado,monto_mora_pagado,saldo_capital_despues_pago,dias_retraso,estado_pago,canal_pago,referencia_pago
16,1,16,2024-08-29,2024-08-29,393.63,306.66,86.97,393.63,306.66,86.97,0.0,4875.18,0,Puntual,Agencia,REF0000000016
17,1,17,2024-09-28,2024-09-28,393.63,311.81,81.82,393.63,311.81,81.82,0.0,4563.37,0,Puntual,Agencia,REF0000000017
18,1,18,2024-10-28,2024-10-28,393.63,317.04,76.59,393.63,317.04,76.59,0.0,4246.33,0,Puntual,Débito Automático,REF0000000018
19,1,19,2024-11-27,2024-12-02,393.63,322.36,71.27,393.63,322.36,71.27,0.0,3923.97,5,Con Gracia,Agencia,REF0000000019
20,1,20,2024-12-27,2024-12-27,393.63,327.77,65.86,393.63,327.77,65.86,0.0,3596.2,0,Puntual,Agencia,REF0000000020
21,2,1,2021-03-14,2021-03-14,225.92,86.37,139.55,225.92,86.37,139.55,0.0,7681.01,0,PUNTUAL,Web Banca,REF0000000021
22,2,2,2021-04-13,2021-04-13,225.92,87.92,138.0,225.92,87.92,138.0,0.0,7593.09,0,Puntual,Web Banca,REF0000000022
23,2,3,2021-05-13,2021-05-13,225.92,89.5,136.42,225.92,89.5,136.42,0.0,7503.59,0,Puntual,App Móvil,REF0000000023
24,2,4,2021-06-12,2021-06-12,225.92,91.11,134.81,225.92,91.11,134.81,0.0,7412.48,0,Puntual,App Móvil,REF0000000024
25,2,5,2021-07-12,2021-07-19,225.92,92.74,133.18,225.92,92.74,133.18,0.0,7319.74,7,Con Gracia,Débito Automático,REF0000000025
26,2,6,2021-08-11,2021-08-11,225.92,94.41,131.51,225.92,94.41,131.51,0.0,7225.33,0,Puntual,Transferencia Interbancaria,REF0000000026
27,2,7,2021-09-10,2021-09-13,225.92,96.1,129.82,225.92,96.1,129.82,0.0,7129.23,3,Puntual ,Transferencia Interbancaria,REF0000000027
28,2,8,2021-10-10,2021-10-10,225.92,97.83,128.09,225.92,97.83,128.09,0.0,7031.4,0,Puntual,Agencia,REF0000000028
29,2,9,2021-11-09,2021-11-09,225.92,99.59,126.33,225.92,99.59,126.33,0.0,6931.81,0,Puntual,App Móvil,REF0000000029
30,2,10,2021-12-09,2021-12-09,225.92,101.38,124.54,225.92,101.38,124.54,0.0,6830.43,0,Puntual,App Móvil,REF0000000030
31,2,11,2022-01-08,2022-01-11,225.92,103.2,122.72,225.92,103.2,122.72,0.0,6727.23,3,Con Gracia,App Móvil,REF0000000031
32,2,12,2022-02-07,2022-02-07,225.92,105.05,120.87,225.92,105.05,120.87,0.0,6622.18,0,Puntual,Agencia,REF0000000032
33,2,13,2022-03-09,2022-03-09,225.92,106.94,118.98,225.92,106.94,118.98,0.0,6515.24,0,Puntual,Agencia,REF0000000033
34,2,14,2022-04-08,2022-04-08,225.92,108.86,117.06,225.92,108.86,117.06,0.0,6406.38,0,Puntual,App Móvil,REF0000000034
35,2,15,2022-05-08,2022-05-08,225.92,110.82,115.1,225.92,110.82,115.1,0.0,6295.56,0,Puntual,App Móvil,REF0000000035
36,2,16,2022-06-07,2022-06-13,225.92,112.81,113.11,225.92,112.81,113.11,0.0,6182.75,6,Con Gracia,Transferencia Interbancaria,REF0000000036
37,2,17,2022-07-07,2022-07-07,225.92,114.84,111.08,225.92,114.84,111.08,0.0,6067.91,0,Puntual,App Móvil,REF0000000037
38,2,18,2022-08-06,2022-08-06,225.92,116.9,109.02,225.92,116.9,109.02,0.0,5951.01,0,Puntual,Agencia,REF0000000038
39,2,19,2022-09-05,2022-09-05,225.92,119.0,106.92,225.92,119.0,106.92,0.0,5832.01,0,Puntual,Transferencia Interbancaria,REF0000000039
40,2,20,2022-10-05,2022-10-05,225.92,121.14,104.78,225.92,121.14,104.78,0.0,5710.87,0,Puntual,Transferencia Interbancaria,REF0000000040
41,2,21,2022-11-04,2022-11-04,225.92,123.31,102.61,225.92,123.31,102.61,0.0,5587.56,0,Puntual,Débito Automático,REF0000000041
42,2,22,2022-12-04,2022-12-04,225.92,125.53,100.39,225.92,125.53,100.39,0.0,5462.03,0,Puntual,Cajero ATM,REF0000000042
43,2,23,2023-01-03,2023-01-03,225.92,127.79,98.13,225.92,127.79,98.13,0.0,5334.24,0,Puntual,Agente Bancario,REF0000000043
44,2,24,2023-02-02,2023-02-05,225.92,130.08,95.84,225.92,130.08,95.84,0.0,5204.16,3,Con Gracia,Agencia,REF0000000044
45,2,25,2023-03-04,2023-06-02,225.92,132.42,93.5,236.09,132.42,93.5,10.17,5071.74,90,Muy Tardío,App Móvil,REF0000000045
46,2,26,2023-04-03,2023-04-07,225.92,134.8,91.12,225.92,134.8,91.12,0.0,4936.94,4,Con Gracia,App Móvil,REF0000000046
47,2,27,2023-05-03,2023-05-03,225.92,137.22,88.7,225.92,137.22,88.7,0.0,4799.72,0,Puntual,agencia,REF0000000047
48,2,28,2023-06-02,2023-06-07,225.92,139.69,86.23,225.92,139.69,86.23,0.0,4660.03,5,Con Gracia,Web Banca,REF0000000048
49,2,29,2023-07-02,2023-07-02,225.92,142.19,83.73,225.92,142.19,83.73,0.0,4517.84,0,Puntual,Agencia,REF0000000049
50,2,30,2023-08-01,2023-08-01,225.92,144.75,81.17,225.92,144.75,81.17,0.0,4373.09,0,Puntual,Web Banca,REF0000000050
51,2,31,2023-08-31,2023-08-31,225.92,147.35,78.57,225.92,147.35,78.57,0.0,4225.74,0,Puntual,App Móvil,REF0000000051
52,2,32,2023-09-30,2023-10-06,225.92,150.0,75.92,225.92,150.0,75.92,0.0,4075.74,6,Con Gracia,Transferencia Interbancaria,REF0000000052
53,2,33,2023-10-30,2023-10-30,225.92,152.69,73.23,225.92,152.69,73.23,0.0,3923.05,0,Puntual,Web Banca,REF0000000053
54,2,34,2023-11-29,2023-11-30,225.92,155.44,70.48,225.92,155.44,70.48,0.0,3767.61,1,Con Gracia,App Móvil,REF0000000054
55,2,35,2023-12-29,2023-12-29,225.92,158.23,67.69,225.92,158.23,67.69,0.0,3609.38,0,Puntual,Transferencia Interbancaria,REF0000000055
56,2,36,2024-01-28,2024-01-28,225.92,161.07,64.85,225.92,161.07,64.85,0.0,3448.31,0,Puntual,Agencia,REF0000000056
57,2,37,2024-02-27,2024-02-27,225.92,163.97,61.95,225.92,163.97,61.95,0.0,3284.34,0,Puntual,App Móvil,REF0000000057
58,2,38,2024-03-28,2024-03-28,225.92,166.91,59.01,225.92,166.91,59.01,0.0,3117.43,0,Puntual,Cajero ATM,REF0000000058
59,2,39,2024-04-27,2024-04-27,225.92,169.91,56.01,225.92,169.91,56.01,0.0,2947.52,0,Puntual,Web Banca,REF0000000059
60,2,40,2024-05-27,2024-05-27,225.92,172.96,52.96,225.92,172.96,52.96,0.0,2774.56,0,Puntual,app movil,REF0000000060
61,2,41,2024-06-26,2024-06-26,225.92,176.07,49.85,225.92,176.07,49.85,0.0,2598.49,0,Puntual,Agente Bancario,REF0000000061
62,2,42,2024-07-26,2024-07-26,225.92,179.23,46.69,225.92,179.23,46.69,0.0,2419.26,0,Puntual,Agencia,REF0000000062
63,2,43,2024-08-25,2024-08-25,225.92,182.45,43.47,225.92,182.45,43.47,0.0,2236.81,0,Puntual,Cajero ATM,REF0000000063
64,2,44,2024-09-24,2024-09-24,225.92,185.73,40.19,225.92,185.73,40.19,0.0,2051.08,0,Puntual,,REF0000000064
65,2,45,2024-10-24,2024-10-24,225.92,189.07,36.85,225.92,189.07,36.85,0.0,1862.01,0,Puntual,App Móvil,REF0000000065
66,2,46,2024-11-23,2024-11-23,225.92,192.47,33.45,225.92,192.47,33.45,0.0,1669.54,0,Puntual,Web Banca,REF0000000066
67,2,47,2024-12-23,2024-12-30,225.92,195.92,30.0,225.92,195.92,30.0,0.0,1473.62,7,Con Gracia,Transferencia Interbancaria,REF0000000067
68,3,1,2023-12-22,2023-12-22,495.2,119.84,375.36,495.2,119.84,375.36,0.0,12392.2,0,Puntual,Cajero ATM,REF0000000068
69,3,2,2024-01-21,2024-01-21,495.2,123.43,371.77,495.2,123.43,371.77,0.0,12268.77,0,Puntual,Agencia,REF0000000069
70,3,3,2024-02-20,2024-02-20,495.2,127.14,368.06,495.2,127.14,368.06,0.0,12141.63,0,Puntual,Débito Automático,REF0000000070
71,3,4,2024-03-21,2024-03-25,495.2,130.95,364.25,495.2,130.95,364.25,0.0,12010.68,4,Con Gracia,Cajero ATM,REF0000000071
72,3,5,2024-04-20,2024-04-20,495.2,134.88,360.32,495.2,134.88,360.32,0.0,11875.8,0,Puntual,,REF0000000072
73,3,6,2024-05-20,2024-05-20,495.2,138.93,356.27,495.2,138.93,356.27,0.0,11736.87,0,Puntual,Cajero ATM,REF0000000073
74,3,7,2024-06-19,2024-06-19,495.2,143.09,352.11,495.2,143.09,352.11,0.0,11593.78,0,Puntual,Agencia,REF0000000074
75,3,8,2024-07-19,2024-07-19,495.2,147.39,347.81,495.2,147.39,347.81,0.0,11446.39,0,Puntual,Agencia,REF0000000075
76,3,9,2024-08-18,2024-08-18,495.2,151.81,343.39,495.2,151.81,343.39,0.0,11294.58,0,Puntual,Transferencia Interbancaria,REF0000000076
77,3,10,2024-09-17,2024-09-17,495.2,156.36,338.84,495.2,156.36,338.84,0.0,11138.22,0,Puntual,Cajero ATM,REF0000000077
78,3,11,2024-10-17,2024-10-17,495.2,161.05,334.15,495.2,161.05,334.15,0.0,10977.17,0,Puntual,Web Banca,REF0000000078
79,3,12,2024-11-16,2024-11-16,495.2,165.88,329.32,495.2,165.88,329.32,0.0,10811.29,0,Puntual,Agente Bancario,REF0000000079
80,3,13,2024-12-16,2024-12-16,495.2,170.86,324.34,495.2,170.86,324.34,0.0,10640.43,0,Puntual,Agencia ,REF0000000080
81,4,1,2024-05-19,2024-07-20,667.82,542.35,125.47,688.52,542.35,125.47,20.7,3012.76,62,Muy Tardío,Transferencia Interbancaria,REF0000000081
82,4,2,2024-06-18,2024-06-28,667.82,561.49,106.33,667.82,561.49,106.33,0.0,2451.27,10,Tardío,Agencia,REF0000000082
83,4,3,2024-07-18,2024-07-18,667.82,581.31,86.51,667.82,581.31,86.51,0.0,1869.96,0,Puntual,Web Banca,REF0000000083
84,4,4,2024-08-17,2024-08-17,667.82,601.83,65.99,667.82,601.83,65.99,0.0,1268.13,0,Puntual,App Móvil,REF0000000084
85,4,5,2024-09-16,2024-11-17,667.82,623.07,44.75,688.52,623.07,44.75,20.7,645.06,62,Muy Tardío,App Móvil,REF0000000085
86,4,6,2024-10-16,2024-11-21,667.82,645.06,22.76,679.84,645.06,22.76,12.02,0.0,36,Muy Tardío,Transferencia Interbancaria,REF0000000086
87,5,1,2020-05-19,2020-05-19,410.63,185.55,225.08,410.63,185.55,225.08,0.0,8202.6,0,Puntual,Web Banca,REF0000000087
88,5,2,2020-06-18,2020-06-18,410.63,190.53,220.1,410.63,190.53,220.1,0.0,8012.07,0,Puntual,App Móvil,REF0000000088
89,5,3,2020-07-18,2020-07-18,410.63,195.64,214.99,410.63,195.64,214.99,0.0,7816.43,0,Puntual,App Móvil,REF0000000089
90,5,4,2020-08-17,2020-08-22,410.63,200.89,209.74,410.63,200.89,209.74,0.0,7615.54,5,Con Gracia,Agencia,REF0000000090
91,5,5,2020-09-16,2020-09-16,410.63,206.28,204.35,410.63,206.28,204.35,0.0,7409.26,0,Puntual,Web Banca,REF0000000091
92,5,6,2020-10-16,2020-10-16,410.63,211.81,198.82,410.63,211.81,198.82,0.0,7197.45,0,Puntual,Transferencia Interbancaria,REF0000000092
93,5,7,2020-11-15,2020-11-15,410.63,217.5,193.13,-410.63,217.5,193.13,0.0,6979.95,0,Puntual,Cajero ATM,REF0000000093
94,5,8,2020-12-15,2020-12-15,410.63,223.33,187.3,410.63,223.33,187.3,0.0,6756.62,0,Puntual,Cajero ATM,REF0000000094
95,5,9,2021-01-14,2021-01-14,410.63,229.33,181.3,410.63,229.33,181.3,0.0,6527.29,0,Puntual,Cajero ATM,REF0000000095
96,5,10,2021-02-13,2021-02-13,410.63,235.48,175.15,410.63,235.48,175.15,0.0,6291.81,0,Puntual,Agencia,REF0000000096
97,5,11,2021-03-15,2021-07-29,410.63,241.8,168.83,438.55,241.8,168.83,27.92,6050.01,136,Muy Tardío,Transferencia Interbancaria,REF0000000097
98,5,12,2021-04-14,2021-04-14,410.63,248.29,162.34,410.63,248.29,162.34,0.0,5801.72,0,Puntual,Web Banca,REF0000000098
99,5,13,2021-05-14,2021-05-14,410.63,254.95,155.68,410.63,254.95,155.68,0.0,5546.77,0,Puntual,Web Banca,REF0000000099
100,5,14,2021-06-13,2021-06-13,410.63,261.79,148.84,410.63,261.79,148.84,0.0,5284.98,0,Puntual,Agencia,REF0000000100
101,5,15,2021-07-13,2021-07-13,410.63,268.82,141.81,410.63,268.82,141.81,0.0,5016.16,0,Puntual,Débito Automático,REF0000000101
102,5,16,2021-08-12,2021-08-12,410.63,276.03,134.6,410.63,276.03,134.6,0.0,4740.13,0,Puntual ,App Móvil,REF0000000102
103,5,17,2021-09-11,2021-09-11,410.63,283.44,127.19,410.63,283.44,127.19,0.0,4456.69,0,Puntual,App Móvil,REF0000000103
104,5,18,2021-10-11,2021-10-11,410.63,291.04,119.59,410.63,291.04,119.59,0.0,4165.65,0,Puntual,Débito Automático,REF0000000104
105,5,19,2021-11-10,2021-11-10,410.63,298.85,111.78,410.63,298.85,111.78,0.0,3866.8,0,Puntual,Web Banca,REF0000000105
106,5,20,2021-12-10,2021-12-10,410.63,306.87,103.76,410.63,306.87,103.76,0.0,3559.93,0,Puntual,App Móvil,REF0000000106
107,5,21,2022-01-09,2022-01-09,410.63,315.11,95.52,410.63,315.11,95.52,0.0,3244.82,0,Puntual,App Móvil,REF0000000107
108,5,22,2022-02-08,2022-02-08,410.63,323.56,87.07,410.63,323.56,87.07,0.0,2921.26,0,Puntual,Web Banca,REF0000000108
109,5,23,2022-10-03,2022-10-04,410.63,332.24,78.39,410.63,332.24,78.39,0.0,2589.02,1,puntual,Agencia,REF0000000109
110,5,24,2022-04-09,2022-04-09,410.63,341.16,69.47,410.63,341.16,69.47,0.0,2247.86,0,Puntual,Agencia,REF0000000110
111,5,25,2022-05-09,2022-05-09,410.63,350.31,60.32,410.63,350.31,60.32,0.0,1897.55,0,Puntual,Agente Bancario,REF0000000111
112,5,26,2022-06-08,2022-07-30,410.63,359.71,50.92,421.31,359.71,50.92,10.68,1537.84,52,Muy Tardío,App Móvil,REF0000000112
113,5,27,2022-07-08,2022-07-08,410.63,369.36,41.27,410.63,369.36,41.27,0.0,1168.48,0,Puntual,Transferencia Interbancaria,REF0000000113
114,5,28,2022-08-07,2022-08-07,410.63,379.28,31.35,410.63,379.28,31.35,0.0,789.2,0,Puntual,Agencia,REF0000000114
115,5,29,2022-09-06,2022-09-06,410.63,389.45,21.18,410.63,389.45,21.18,0.0,399.75,0,Puntual,Transferencia Interbancaria,REF0000000115
116,5,30,2022-10-06,2022-10-06,410.63,399.75,10.88,410.63,399.75,10.88,0.0,0.0,0,Puntual,App Móvil,REF0000000116
117,6,1,2020-09-06,2020-09-06,1760.36,147.61,1612.75,1760.36,147.61,1612.75,0.0,198141.85,0,Puntual,Transferencia Interbancaria,REF0000000117
118,6,2,2020-10-06,2020-10-06,1760.36,148.81,1611.55,1760.36,148.81,1611.55,0.0,197993.04,0,Puntual,Débito Automático,REF0000000118
119,6,3,2020-11-05,2020-11-08,1760.36,150.02,1610.34,1760.36,150.02,1610.34,0.0,197843.02,3,Con Gracia,,REF0000000119
120,6,4,2020-12-05,2020-12-05,1760.36,151.24,1609.12,1760.36,151.24,1609.12,0.0,197691.78,0,Puntual,Agencia,REF0000000120
121,6,5,2021-01-04,2021-05-23,1760.36,152.47,1607.89,1882.71,152.47,1607.89,122.35,197539.31,139,Muy Tardío,Agencia,REF0000000121
122,6,6,2021-02-03,2021-02-03,1760.36,153.71,1606.65,1760.36,153.71,1606.65,0.0,197385.6,0,Puntual,Agencia,REF0000000122
123,6,7,2021-03-05,2021-03-05,1760.36,154.96,1605.4,1760.36,154.96,1605.4,0.0,197230.64,0,PUNTUAL,Agencia,REF0000000123
124,6,8,2021-04-04,2021-04-04,1760.36,156.22,1604.14,1760.36,156.22,1604.14,0.0,197074.42,0,Puntual,Web Banca,REF0000000124
125,6,9,2021-05-04,2021-05-04,1760.36,157.49,1602.87,1760.36,157.49,1602.87,0.0,196916.93,0,Puntual,App Móvil,REF0000000125
126,6,10,2021-06-03,2021-06-03,1760.36,158.77,1601.59,1760.36,158.77,1601.59,0.0,196758.16,0,Puntual,Agencia,REF0000000126
127,6,11,2021-07-03,2021-07-03,1760.36,160.06,1600.3,1760.36,160.06,1600.3,0.0,196598.1,0,Puntual,Web Banca,REF0000000127
128,6,12,2021-08-02,2021-08-02,1760.36,161.36,1599.0,1760.36,161.36,1599.0,0.0,196436.74,0,Puntual,Agencia,REF0000000128
129,6,13,2021-09-01,2021-09-03,1760.36,162.67,1597.69,1760.36,162.67,1597.69,0.0,196274.07,2,Con Gracia,Web Banca,REF0000000129
130,6,14,2021-01-10,2021-01-13,1760.36,164.0,1596.36,1760.36,164.0,1596.36,0.0,196110.07,3,Puntual,App Móvil,REF0000000130
131,6,15,2021-10-31,2021-10-31,1760.36,165.33,1595.03,1760.36,165.33,1595.03,0.0,195944.74,0,Puntual,Cajero ATM,REF0000000131
132,6,16,2021-11-30,2021-11-30,1760.36,166.68,1593.68,1760.36,166.68,1593.68,0.0,195778.06,0,Puntual,App Móvil,REF0000000132
133,6,17,2021-12-30,2022-01-06,1760.36,168.03,1592.33,1760.36,168.03,1592.33,0.0,195610.03,7,Con Gracia,Cajero ATM,REF0000000133
134,6,18,2022-01-29,2022-01-29,1760.36,169.4,1590.96,1760.36,169.4,1590.96,0.0,195440.63,0,Puntual,Agencia,REF0000000134
135,6,19,2022-02-28,2022-02-28,1760.36,170.78,1589.58,1760.36,170.78,1589.58,0.0,195269.85,0,Puntual,App Móvil,REF0000000135
136,6,20,2022-03-30,2022-03-30,1760.36,172.17,1588.19,1760.36,172.17,1588.19,0.0,195097.68,0,Puntual,Agencia,REF0000000136
137,6,21,2022-04-29,2022-04-29,1760.36,173.57,1586.79,1760.36,173.57,1586.79,0.0,194924.11,0,Puntual,Agente Bancario,REF0000000137
138,6,22,2022-05-29,2022-05-29,1760.36,174.98,1585.38,1760.36,174.98,1585.38,0.0,194749.13,0,Puntual,App Móvil,REF0000000138
139,6,23,2022-06-28,2022-06-28,1760.36,176.4,1583.96,1760.36,176.4,1583.96,0.0,194572.73,0,Puntual,Agencia,REF0000000139
140,6,24,2022-07-28,2022-07-28,1760.36,177.84,1582.52,1760.36,177.84,1582.52,0.0,194394.89,0,Puntual,Agencia,REF0000000140
141,6,25,2022-08-27,2022-08-27,1760.36,179.28,1581.08,1760.36,179.28,1581.08,0.0,194215.61,0,Puntual,Web Banca,REF0000000141
142,6,26,2022-09-26,2022-09-27,1760.36,180.74,1579.62,1760.36,180.74,1579.62,0.0,194034.87,1,Con Gracia,Cajero ATM,REF0000000142
143,6,27,2022-10-26,2022-10-26,1760.36,182.21,1578.15,1760.36,182.21,1578.15,0.0,193852.66,0,Puntual,Agente Bancario,REF0000000143
144,6,28,2022-11-25,2022-11-25,1760.36,183.69,1576.67,1760.36,183.69,1576.67,0.0,193668.97,0,PUNTUAL,Agencia,REF0000000144
145,6,29,2022-12-25,2023-02-20,1760.36,185.19,1575.17,1810.53,185.19,1575.17,50.17,193483.78,57,Muy Tardío,App Móvil,REF0000000145
146,6,30,2023-01-24,2023-01-24,1760.36,186.69,1573.67,1760.36,186.69,1573.67,0.0,193297.09,0,Puntual,Transferencia Interbancaria,REF0000000146
147,6,31,2023-02-23,2023-03-02,1760.36,188.21,1572.15,1760.36,188.21,1572.15,0.0,193108.88,7,Con Gracia,Agencia,REF0000000147
148,6,32,2023-03-25,2023-03-31,1760.36,189.74,1570.62,1760.36,189.74,1570.62,0.0,192919.14,6,Con Gracia,Web Banca,REF0000000148
149,6,33,2023-04-24,2023-04-24,1760.36,191.28,1569.08,1760.36,191.28,1569.08,0.0,192727.86,0,Puntual,App Móvil,REF0000000149
150,6,34,2023-05-24,2023-05-24,1760.36,192.84,1567.52,1760.36,192.84,1567.52,0.0,192535.02,0,Puntual,Agente Bancario,REF0000000150
151,6,35,2023-06-23,2023-06-28,1760.36,194.41,1565.95,1760.36,194.41,1565.95,0.0,192340.61,5,Con Gracia,App Móvil,REF0000000151
152,6,36,2023-07-23,2023-07-23,1760.36,195.99,1564.37,1760.36,195.99,1564.37,0.0,192144.62,0,Puntual,App Móvil,REF0000000152
153,6,37,2023-08-22,2023-08-22,1760.36,197.58,1562.78,1760.36,197.58,1562.78,0.0,191947.04,0,Puntual,App Móvil,REF0000000153
154,6,38,2023-09-21,2023-09-21,1760.36,199.19,1561.17,1760.36,199.19,1561.17,0.0,191747.85,0,Puntual,Agencia,REF0000000154
155,6,39,2023-10-21,2023-10-21,1760.36,200.81,1559.55,1760.36,200.81,1559.55,0.0,191547.04,0,Puntual,App Móvil,REF0000000155
156,6,40,2023-11-20,2023-11-26,1760.36,202.44,1557.92,1760.36,202.44,1557.92,0.0,191344.6,6,Con Gracia,App Móvil,REF0000000156
157,6,41,2023-12-20,2023-12-20,1760.36,204.09,1556.27,1760.36,204.09,1556.27,0.0,191140.51,0,Puntual,Débito Automático,REF0000000157
158,6,42,2024-01-19,2024-01-19,1760.36,205.75,1554.61,1760.36,205.75,1554.61,0.0,190934.76,0,Puntual,Web Banca,REF0000000158
159,6,43,2024-02-18,2024-02-18,1760.36,207.42,1552.94,1760.36,207.42,1552.94,0.0,190727.34,0,Puntual,Transferencia Interbancaria,REF0000000159
160,6,44,2024-03-19,2024-03-19,1760.36,209.11,1551.25,1760.36,209.11,1551.25,0.0,190518.23,0,Puntual,Agente Bancario,REF0000000160
161,6,45,2024-04-18,2024-04-18,1760.36,210.81,1549.55,1760.36,210.81,1549.55,0.0,190307.42,0,Puntual,App Móvil,REF0000000161
162,6,46,2024-05-18,2024-05-18,1760.36,212.53,1547.83,1760.36,212.53,1547.83,0.0,190094.89,0,Puntual,Agencia,REF0000000162
163,6,47,2024-06-17,2024-06-21,1760.36,214.25,1546.11,1760.36,214.25,1546.11,0.0,189880.64,4,Con Gracia,App Móvil,REF0000000163
164,6,48,2024-07-17,2024-07-17,1760.36,216.0,1544.36,1760.36,216.0,1544.36,0.0,189664.64,0,Puntual,Agente Bancario,REF0000000164
165,6,49,2024-08-16,2024-08-16,1760.36,217.75,1542.61,1760.36,217.75,1542.61,0.0,189446.89,0,Puntual,Cajero ATM,REF0000000165
166,6,50,2024-09-15,2024-09-15,1760.36,219.53,1540.83,1760.36,219.53,1540.83,0.0,189227.36,0,Puntual,Agente Bancario,REF0000000166
167,6,51,2024-10-15,2024-10-15,1760.36,221.31,1539.05,1760.36,221.31,1539.05,0.0,189006.05,0,Puntual,Transferencia Interbancaria,REF0000000167
168,6,52,2024-11-14,2024-11-14,1760.36,223.11,1537.25,1760.36,223.11,1537.25,0.0,188782.94,0,Puntual,App Móvil,REF0000000168
169,6,53,2024-12-14,2024-12-14,1760.36,224.93,1535.43,1760.36,224.93,1535.43,0.0,188558.01,0,Puntual,App Móvil,REF0000000169
170,7,1,2023-03-27,2023-07-08,2240.62,1478.01,762.61,2356.01,1478.01,762.61,115.39,31135.22,103,Muy Tardío,Agente Bancario,REF0000000170
171,7,2,2023-04-26,2023-04-26,2240.62,1512.57,728.05,2240.62,1512.57,728.05,0.0,29622.65,0,Puntual,App Móvil,REF0000000171
172,7,3,2023-05-26,2023-05-26,2240.62,1547.94,692.68,2240.62,1547.94,692.68,0.0,28074.71,0,PUNTUAL,Web Banca,REF0000000172
173,7,4,2023-06-25,2023-06-25,2240.62,1584.14,656.48,2240.62,1584.14,656.48,0.0,26490.57,0,Puntual,App Móvil,REF0000000173
174,7,5,2023-07-25,2023-07-25,2240.62,1621.18,619.44,2240.62,1621.18,619.44,0.0,24869.39,0,Puntual,App Móvil,REF0000000174
175,7,6,2023-08-24,2023-08-24,2240.62,1659.09,581.53,2240.62,1659.09,581.53,0.0,23210.3,0,Puntual,App Móvil,REF0000000175
176,7,7,2023-09-23,2023-09-23,2240.62,1697.89,542.73,2240.62,1697.89,542.73,0.0,21512.41,0,Puntual,Agente Bancario,REF0000000176
177,7,8,2023-10-23,2023-10-23,2240.62,1737.59,503.03,2240.62,1737.59,503.03,0.0,19774.82,0,Puntual,Transferencia Interbancaria,REF0000000177
178,7,9,2023-11-22,2024-02-24,2240.62,1778.22,462.4,2345.93,1778.22,462.4,105.31,17996.6,94,Muy Tardío,Web Banca,REF0000000178
179,7,10,2023-12-22,2024-01-19,2240.62,1819.8,420.82,2240.62,1819.8,420.82,0.0,16176.8,28,Tardío,Débito Automático,REF0000000179
180,7,11,2024-01-21,2024-01-21,2240.62,1862.35,378.27,2240.62,1862.35,378.27,0.0,14314.45,0,Puntual,Transferencia Interbancaria,REF0000000180
181,7,12,2024-02-20,2024-02-20,2240.62,1905.9,334.72,2240.62,1905.9,334.72,0.0,12408.55,0,Puntual,Débito Automático,REF0000000181
